"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"31.12.2024","90.168,1","89.089,9","92.606,9","88.318,1","0,54K","1,21%"
"30.12.2024","89.089,9","89.696,7","91.198,9","87.910,2","0,69K","-0,69%"
"29.12.2024","89.712,0","91.225,0","91.256,3","89.046,1","0,35K","-1,66%"
"28.12.2024","91.224,8","90.371,9","91.560,4","90.251,0","0,22K","0,94%"
"27.12.2024","90.373,5","91.816,3","93.440,0","89.677,3","0,47K","-1,54%"
"26.12.2024","91.791,6","95.526,1","96.028,1","91.473,2","0,35K","-3,91%"
"25.12.2024","95.526,1","94.853,3","95.659,4","93.931,2","0,28K","0,71%"
"24.12.2024","94.853,3","91.109,3","95.645,8","89.831,7","0,52K","4,14%"
"23.12.2024","91.086,8","91.175,8","92.745,4","88.866,8","0,79K","-0,10%"
"22.12.2024","91.182,5","93.378,5","93.565,6","90.386,5","0,46K","-2,35%"
"21.12.2024","93.378,5","93.844,0","95.675,1","92.600,0","0,37K","-0,50%"
"20.12.2024","93.844,0","94.022,9","94.518,1","88.600,0","1,66K","-0,22%"
"19.12.2024","94.050,0","96.776,9","98.680,0","92.197,2","1,26K","-2,84%"
"18.12.2024","96.795,1","101.091,4","101.379,5","96.726,9","0,84K","-4,27%"
"17.12.2024","101.110,1","100.539,8","102.888,0","100.229,9","1,71K","0,57%"
"16.12.2024","100.539,8","98.902,1","102.395,6","98.400,0","1,93K","1,66%"
"15.12.2024","98.902,1","96.509,2","99.550,0","96.403,0","0,59K","2,47%"
"14.12.2024","96.513,6","96.600,9","97.640,0","95.860,0","0,22K","-0,10%"
"13.12.2024","96.605,9","95.459,2","97.000,0","94.810,0","0,53K","1,17%"
"12.12.2024","95.485,1","96.250,2","97.670,4","94.750,0","0,82K","-0,79%"
"11.12.2024","96.240,7","91.882,6","96.969,7","90.984,1","0,95K","4,74%"
"10.12.2024","91.882,6","92.249,7","93.418,3","89.725,3","0,75K","-0,51%"
"09.12.2024","92.350,5","95.586,4","95.686,0","89.232,3","0,88K","-3,39%"
"08.12.2024","95.594,4","94.367,3","95.785,4","93.374,7","0,37K","1,30%"
"07.12.2024","94.367,3","94.416,9","95.048,6","93.710,0","0,23K","-0,05%"
"06.12.2024","94.414,3","91.711,9","96.500,0","91.217,6","0,88K","2,94%"
"05.12.2024","91.721,5","93.735,0","98.053,3","87.025,3","2,64K","-2,15%"
"04.12.2024","93.735,0","91.239,3","94.150,0","89.956,4","1,20K","2,74%"
"03.12.2024","91.239,3","91.242,1","91.706,4","88.951,9","0,56K","-0,02%"
"02.12.2024","91.261,7","92.131,7","93.000,0","90.025,0","0,68K","-0,95%"
"01.12.2024","92.133,0","91.134,5","92.566,9","90.531,6","0,29K","1,10%"
"30.11.2024","91.134,5","92.169,3","92.169,3","90.790,1","0,29K","-1,11%"
"29.11.2024","92.157,4","90.557,5","93.432,6","90.298,8","0,66K","1,77%"
"28.11.2024","90.557,5","90.828,1","91.533,7","89.725,1","0,50K","-0,30%"
"27.11.2024","90.828,1","87.601,6","92.139,1","87.430,1","1,16K","3,71%"
"26.11.2024","87.581,6","88.997,3","90.728,0","86.628,5","1,16K","-1,58%"
"25.11.2024","88.988,9","93.396,0","94.256,8","88.200,0","1,52K","-4,72%"
"24.11.2024","93.396,0","93.311,3","94.074,0","91.333,0","0,69K","0,09%"
"23.11.2024","93.311,2","94.819,5","94.819,5","92.815,6","0,61K","-1,58%"
"22.11.2024","94.812,3","93.645,1","95.497,1","93.200,3","1,44K","1,24%"
"21.11.2024","93.654,6","89.111,6","94.229,0","89.104,4","2,35K","5,10%"
"20.11.2024","89.111,6","87.063,1","90.046,3","86.500,2","1,36K","2,35%"
"19.11.2024","87.063,1","85.430,9","88.650,0","85.328,2","1,15K","1,91%"
"18.11.2024","85.430,9","85.101,0","87.488,9","84.619,0","0,99K","0,39%"
"17.11.2024","85.101,0","85.700,9","86.393,7","84.095,0","0,33K","-0,63%"
"16.11.2024","85.643,2","86.272,0","86.869,0","85.278,0","0,54K","-0,73%"
"15.11.2024","86.273,7","82.927,1","87.040,0","82.677,0","1,08K","4,09%"
"14.11.2024","82.884,8","85.446,0","87.000,0","82.306,9","1,40K","-3,03%"
"13.11.2024","85.475,6","82.488,0","87.899,9","80.762,0","2,43K","3,68%"
"12.11.2024","82.441,2","82.188,0","84.300,0","78.292,7","2,48K","0,31%"
"11.11.2024","82.187,9","74.858,0","82.187,9","74.673,3","3,37K","9,78%"
"10.11.2024","74.864,8","71.565,6","75.700,0","71.430,9","1,88K","4,62%"
"09.11.2024","71.559,3","71.449,0","71.778,4","70.685,1","0,34K","0,14%"
"08.11.2024","71.456,5","70.335,0","72.100,0","70.148,0","0,71K","1,64%"
"07.11.2024","70.301,1","70.391,7","71.141,8","69.000,0","0,89K","-0,13%"
"06.11.2024","70.390,0","63.486,1","71.103,7","63.401,4","2,40K","10,88%"
"05.11.2024","63.482,7","62.334,4","64.587,3","62.062,1","0,62K","1,79%"
"04.11.2024","62.364,0","63.309,9","63.748,7","61.431,3","0,42K","-1,51%"
"03.11.2024","63.317,8","64.040,0","64.089,6","62.323,4","0,65K","-1,13%"
"02.11.2024","64.040,0","64.170,5","64.509,0","63.804,0","0,11K","-0,20%"
"01.11.2024","64.170,5","64.537,4","65.888,0","63.250,4","0,42K","-0,56%"
"31.10.2024","64.531,9","66.600,3","66.831,0","64.017,4","0,64K","-3,11%"
"30.10.2024","66.600,3","67.126,2","67.148,6","65.921,9","0,67K","-0,78%"
"29.10.2024","67.124,2","64.551,5","67.981,4","64.411,6","2,01K","3,99%"
"28.10.2024","64.551,5","62.914,2","64.849,9","62.646,3","0,78K","2,60%"
"27.10.2024","62.915,9","62.129,1","63.152,2","62.000,0","0,26K","1,27%"
"26.10.2024","62.129,0","61.725,2","62.390,9","61.536,0","0,14K","0,56%"
"25.10.2024","61.785,3","62.958,0","63.433,2","60.813,7","0,59K","-1,86%"
"24.10.2024","62.957,9","61.800,1","63.489,9","61.626,7","0,55K","1,86%"
"23.10.2024","61.809,6","62.397,2","62.414,9","60.525,0","0,72K","-0,94%"
"22.10.2024","62.397,2","62.232,2","62.758,8","61.555,0","0,50K","0,27%"
"21.10.2024","62.232,2","63.405,9","63.823,0","61.707,0","0,53K","-1,85%"
"20.10.2024","63.405,9","62.843,7","63.696,9","62.611,0","0,19K","0,89%"
"19.10.2024","62.843,7","62.958,7","63.170,6","62.600,0","0,11K","-0,18%"
"18.10.2024","62.958,7","62.188,0","63.422,4","61.968,8","0,63K","1,25%"
"17.10.2024","62.184,0","62.260,1","62.501,7","61.428,0","0,65K","-0,12%"
"16.10.2024","62.260,1","61.551,4","62.699,0","61.282,7","0,63K","1,20%"
"15.10.2024","61.519,9","60.457,5","62.145,4","59.431,5","0,78K","1,77%"
"14.10.2024","60.452,0","57.508,7","60.788,1","57.144,8","1,11K","5,12%"
"13.10.2024","57.508,4","57.715,2","57.785,1","56.690,2","0,17K","-0,36%"
"12.10.2024","57.715,2","57.100,0","57.981,0","57.100,0","0,19K","1,08%"
"11.10.2024","57.100,0","55.143,3","57.923,9","54.962,4","0,50K","3,60%"
"10.10.2024","55.117,5","55.379,6","56.032,3","53.950,0","0,40K","-0,47%"
"09.10.2024","55.380,5","56.608,0","56.990,0","55.125,7","0,35K","-2,17%"
"08.10.2024","56.607,9","56.710,0","57.521,7","56.364,8","0,43K","-0,17%"
"07.10.2024","56.702,0","57.231,9","58.685,6","56.594,9","0,63K","-0,92%"
"06.10.2024","57.228,1","56.484,9","57.300,0","56.298,9","0,21K","1,32%"
"05.10.2024","56.484,4","56.553,1","56.798,8","56.177,5","0,11K","-0,10%"
"04.10.2024","56.542,4","55.044,6","56.923,0","54.805,1","0,40K","2,72%"
"03.10.2024","55.044,6","54.882,4","55.687,3","54.279,5","0,32K","0,26%"
"02.10.2024","54.901,5","54.961,9","56.400,0","54.320,0","0,49K","-0,18%"
"01.10.2024","55.000,0","56.874,6","57.701,9","54.396,9","0,79K","-3,30%"
"30.09.2024","56.874,6","58.746,8","58.746,8","56.450,1","0,63K","-3,19%"
"29.09.2024","58.746,8","58.985,9","59.095,4","58.636,4","0,16K","-0,41%"
"28.09.2024","58.987,6","58.941,2","59.302,5","58.619,9","0,11K","0,08%"
"27.09.2024","58.942,3","58.300,0","59.490,0","58.050,0","0,58K","1,10%"
"26.09.2024","58.300,0","56.734,7","58.872,4","56.309,8","0,70K","2,76%"
"25.09.2024","56.734,7","57.437,5","57.880,0","56.565,1","0,38K","-1,19%"
"24.09.2024","57.418,0","56.999,9","57.766,0","56.300,0","0,47K","0,74%"
"23.09.2024","56.994,6","56.983,1","57.949,8","56.144,4","0,41K","0,04%"
"22.09.2024","56.972,6","56.769,7","57.300,0","55.911,1","0,15K","0,37%"
"21.09.2024","56.760,8","56.635,4","56.895,4","56.242,3","0,14K","0,22%"
"20.09.2024","56.635,4","56.389,2","57.358,5","55.887,4","0,52K","0,44%"
"19.09.2024","56.388,3","55.555,0","57.219,9","55.436,8","0,89K","1,52%"
"18.09.2024","55.541,4","54.227,8","55.554,9","53.276,8","0,50K","2,42%"
"17.09.2024","54.227,7","52.290,1","55.124,7","51.836,8","0,58K","3,71%"
"16.09.2024","52.290,1","53.313,5","53.390,7","51.699,8","0,39K","-1,98%"
"15.09.2024","53.345,2","54.139,5","54.408,1","53.000,0","0,19K","-1,47%"
"14.09.2024","54.139,5","54.654,7","54.745,4","53.730,0","0,30K","-0,94%"
"13.09.2024","54.654,7","52.485,3","54.739,0","52.017,0","0,47K","4,13%"
"12.09.2024","52.489,2","52.098,4","53.119,9","51.964,9","0,39K","0,78%"
"11.09.2024","52.083,4","52.283,0","52.600,0","50.484,5","0,51K","-0,38%"
"10.09.2024","52.283,0","51.720,1","52.611,0","51.133,1","0,43K","1,09%"
"09.09.2024","51.720,1","49.515,8","52.582,8","49.312,1","0,56K","4,46%"
"08.09.2024","49.509,6","48.912,3","49.880,0","48.438,2","0,24K","1,22%"
"07.09.2024","48.912,3","48.752,3","49.540,3","48.550,0","0,23K","0,33%"
"06.09.2024","48.750,0","50.550,1","51.367,2","47.483,1","1,01K","-3,56%"
"05.09.2024","50.550,1","52.310,0","52.628,0","50.150,0","0,47K","-3,35%"
"04.09.2024","52.301,5","52.031,5","52.798,4","50.411,0","0,71K","0,51%"
"03.09.2024","52.035,1","53.424,9","54.000,0","52.011,0","0,80K","-2,60%"
"02.09.2024","53.424,9","51.904,1","53.679,3","51.722,7","0,55K","2,90%"
