"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"31.12.2019","6.397,4","6.449,8","6.511,5","6.335,3","3,03K","-0,81%"
"30.12.2019","6.449,8","6.606,7","6.606,7","6.430,1","3,56K","-2,37%"
"29.12.2019","6.606,7","6.536,7","6.729,8","6.519,4","2,11K","1,07%"
"28.12.2019","6.536,6","6.485,0","6.584,8","6.473,2","1,69K","0,80%"
"27.12.2019","6.485,0","6.489,9","6.507,3","6.352,0","2,84K","-0,08%"
"26.12.2019","6.489,9","6.481,7","6.688,1","6.445,3","2,29K","0,12%"
"25.12.2019","6.481,8","6.547,6","6.561,3","6.414,8","3,48K","-1,00%"
"24.12.2019","6.547,6","6.600,1","6.707,9","6.466,7","2,64K","-0,86%"
"23.12.2019","6.604,5","6.785,7","6.935,7","6.559,1","4,41K","-2,78%"
"22.12.2019","6.793,2","6.455,6","6.794,0","6.438,5","2,55K","5,23%"
"21.12.2019","6.455,6","6.500,5","6.500,6","6.435,4","1,02K","-0,69%"
"20.12.2019","6.500,5","6.432,0","6.521,2","6.370,2","3,39K","1,08%"
"19.12.2019","6.430,9","6.557,3","6.629,4","6.329,4","3,90K","-1,92%"
"18.12.2019","6.556,9","5.925,7","6.700,3","5.801,0","7,24K","10,65%"
"17.12.2019","5.925,6","6.182,1","6.222,0","5.890,0","5,72K","-4,15%"
"16.12.2019","6.182,1","6.390,1","6.401,9","6.135,0","4,63K","-3,26%"
"15.12.2019","6.390,1","6.351,3","6.478,9","6.308,6","1,98K","0,60%"
"14.12.2019","6.352,2","6.524,8","6.538,0","6.305,0","1,68K","-2,65%"
"13.12.2019","6.524,8","6.431,8","6.556,6","6.431,8","1,74K","1,45%"
"12.12.2019","6.431,8","6.478,4","6.550,0","6.359,9","2,81K","-0,72%"
"11.12.2019","6.478,4","6.515,4","6.569,8","6.448,1","2,63K","-0,57%"
"10.12.2019","6.515,3","6.635,2","6.684,5","6.463,1","3,72K","-1,81%"
"09.12.2019","6.635,2","6.803,7","6.917,8","6.594,5","3,86K","-2,48%"
"08.12.2019","6.803,7","6.778,6","6.848,0","6.680,2","0,89K","0,37%"
"07.12.2019","6.778,6","6.828,0","6.885,0","6.765,7","1,61K","-0,72%"
"06.12.2019","6.828,0","6.659,5","6.867,7","6.592,4","3,42K","2,52%"
"05.12.2019","6.660,0","6.493,4","6.752,1","6.456,8","3,39K","2,57%"
"04.12.2019","6.493,2","6.590,1","7.000,0","6.413,2","6,37K","-1,47%"
"03.12.2019","6.590,1","6.602,7","6.691,9","6.538,7","2,88K","-0,19%"
"02.12.2019","6.602,7","6.724,8","6.753,5","6.501,0","3,43K","-1,86%"
"01.12.2019","6.728,0","6.867,6","6.867,6","6.586,9","3,44K","-2,03%"
"30.11.2019","6.867,6","7.043,3","7.098,5","6.783,2","2,01K","-2,48%"
"29.11.2019","7.042,3","6.760,6","7.143,2","6.748,0","4,30K","4,17%"
"28.11.2019","6.760,6","6.850,7","6.967,9","6.712,0","3,54K","-1,30%"
"27.11.2019","6.849,6","6.512,9","6.979,9","6.245,3","7,00K","5,16%"
"26.11.2019","6.513,4","6.483,0","6.670,3","6.390,3","3,73K","0,47%"
"25.11.2019","6.483,0","6.275,0","6.714,2","5.950,0","8,78K","3,30%"
"24.11.2019","6.275,7","6.659,8","6.670,0","6.232,9","2,94K","-5,77%"
"23.11.2019","6.659,8","6.626,6","6.685,0","6.468,0","2,04K","0,50%"
"22.11.2019","6.626,6","6.892,9","6.990,4","6.153,6","10,16K","-3,86%"
