"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"31.12.2020","23.631,3","23.486,0","23.631,3","23.416,0","7,25K","0,64%"
"30.12.2020","23.481,3","22.345,0","23.481,3","22.345,0","8,14K","5,09%"
"29.12.2020","22.345,0","22.125,2","22.345,0","21.650,1","6,26K","0,99%"
"28.12.2020","22.125,2","21.329,9","22.230,0","21.329,9","5,38K","3,73%"
"27.12.2020","21.329,9","21.621,4","23.008,9","21.329,9","11,50K","-1,35%"
"26.12.2020","21.621,4","20.243,6","21.621,4","20.243,6","7,67K","6,84%"
"25.12.2020","20.237,3","19.466,1","20.237,3","19.375,8","5,88K","3,95%"
"24.12.2020","19.468,8","19.090,1","19.468,8","18.908,0","4,98K","1,94%"
"23.12.2020","19.098,3","19.508,5","19.508,5","19.098,3","7,17K","-2,10%"
"22.12.2020","19.508,8","18.590,1","19.508,8","18.558,0","5,63K","4,89%"
"21.12.2020","18.598,9","19.155,9","19.155,9","18.598,9","9,01K","-2,91%"
"20.12.2020","19.155,9","19.361,1","19.361,1","18.906,5","4,16K","-1,06%"
"19.12.2020","19.361,1","18.852,4","19.400,9","18.837,4","5,24K","2,68%"
"18.12.2020","18.854,9","18.579,8","18.854,9","18.329,8","5,62K","1,48%"
"17.12.2020","18.579,7","17.490,1","18.579,7","17.490,1","14,91K","6,23%"
"16.12.2020","17.490,1","15.992,4","17.490,1","15.992,4","9,29K","9,37%"
"15.12.2020","15.992,4","15.855,9","15.992,4","15.765,8","4,31K","0,86%"
"14.12.2020","15.855,9","15.780,5","15.856,1","15.695,4","2,94K","0,48%"
"13.12.2020","15.780,5","15.547,5","15.804,0","15.538,0","3,63K","1,52%"
"12.12.2020","15.544,1","14.901,1","15.544,1","14.901,1","2,89K","4,41%"
"11.12.2020","14.887,1","15.041,0","15.041,0","14.887,1","5,00K","-1,02%"
"10.12.2020","15.041,0","15.378,8","15.378,8","15.041,0","4,19K","-2,20%"
"09.12.2020","15.378,8","15.136,6","15.378,8","15.040,9","6,66K","1,60%"
"08.12.2020","15.136,6","15.837,1","15.837,1","15.136,6","4,51K","-4,42%"
"07.12.2020","15.837,1","15.972,3","15.972,3","15.822,0","3,00K","-0,86%"
"06.12.2020","15.975,1","15.812,0","15.986,3","15.751,0","1,77K","1,03%"
"05.12.2020","15.812,0","15.413,4","15.812,0","15.413,4","2,11K","2,59%"
"04.12.2020","15.413,4","16.019,2","16.075,0","15.413,4","5,79K","-3,78%"
"03.12.2020","16.019,2","15.865,5","16.019,2","15.865,5","4,94K","0,92%"
"02.12.2020","15.873,2","15.569,4","15.990,4","15.569,4","5,10K","1,91%"
"01.12.2020","15.575,0","16.430,1","16.430,1","15.575,0","9,87K","-5,17%"
"30.11.2020","16.424,1","15.200,0","16.424,1","15.200,0","11,08K","8,05%"
"29.11.2020","15.200,0","14.840,2","15.200,0","14.840,2","3,68K","2,42%"
"28.11.2020","14.840,2","14.341,6","14.941,1","14.236,2","3,83K","3,48%"
"27.11.2020","14.341,6","14.400,0","14.400,0","14.130,1","5,99K","-0,41%"
"26.11.2020","14.400,0","15.718,8","15.718,8","14.220,0","18,93K","-8,39%"
"25.11.2020","15.718,8","16.110,0","16.110,0","15.718,8","6,42K","-2,43%"
"24.11.2020","16.110,0","15.514,7","16.206,6","15.460,1","9,46K","3,84%"
"23.11.2020","15.514,7","15.491,0","15.652,3","15.455,1","5,21K","0,04%"
"22.11.2020","15.509,0","15.730,5","15.730,5","15.254,7","6,99K","-1,41%"
"21.11.2020","15.730,5","15.734,7","15.772,4","15.693,0","3,54K","-0,07%"
"20.11.2020","15.740,8","15.028,6","15.743,4","15.028,6","6,80K","4,77%"
"19.11.2020","15.024,7","15.000,8","15.025,0","14.800,7","6,13K","0,11%"
"18.11.2020","15.008,3","14.885,6","15.042,3","14.885,6","11,68K","0,82%"
"17.11.2020","14.885,6","14.086,1","14.885,6","14.086,1","8,56K","5,65%"
"16.11.2020","14.089,5","13.499,0","14.089,5","13.499,0","6,74K","4,42%"
"15.11.2020","13.493,1","13.595,2","13.611,3","13.493,1","2,14K","-0,75%"
"14.11.2020","13.595,2","13.797,2","13.797,2","13.595,2","3,66K","-1,46%"
