"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"31.12.2023","38.397,0","38.283,0","38.850,0","38.190,1","0,56K","0,30%"
"30.12.2023","38.283,0","38.224,4","38.653,8","37.739,7","0,28K","0,15%"
"29.12.2023","38.224,4","38.528,0","39.040,0","37.649,2","0,76K","-0,81%"
"28.12.2023","38.538,3","39.144,4","39.416,0","38.181,8","0,78K","-1,56%"
"27.12.2023","39.149,5","38.521,3","39.349,0","38.198,0","0,61K","1,63%"
"26.12.2023","38.521,3","39.574,1","39.590,1","37.777,1","0,64K","-2,66%"
"25.12.2023","39.574,1","39.169,4","39.840,0","38.960,7","0,54K","0,97%"
"24.12.2023","39.192,3","39.802,5","39.983,9","38.922,0","0,37K","-1,52%"
"23.12.2023","39.799,0","39.986,1","40.001,1","39.401,4","0,26K","-0,45%"
"22.12.2023","39.978,0","39.870,4","40.348,5","39.425,1","0,82K","0,27%"
"21.12.2023","39.870,4","39.875,4","40.250,0","39.485,0","1,14K","-0,01%"
"20.12.2023","39.875,4","38.503,0","40.399,9","38.486,5","1,11K","3,57%"
"19.12.2023","38.500,7","39.053,0","39.774,6","38.119,3","0,77K","-1,43%"
"18.12.2023","39.058,8","37.967,5","39.125,0","37.144,1","0,86K","2,88%"
"17.12.2023","37.964,3","38.818,2","38.943,5","37.900,0","0,36K","-2,20%"
"16.12.2023","38.818,2","38.515,6","39.200,2","38.255,1","0,21K","0,82%"
"15.12.2023","38.501,5","39.153,9","39.264,6","38.250,1","0,68K","-1,67%"
"14.12.2023","39.153,8","39.428,2","39.669,6","38.282,6","0,86K","-0,69%"
"13.12.2023","39.427,4","38.419,3","39.952,0","37.701,3","1,02K","2,65%"
"12.12.2023","38.408,6","38.309,8","39.000,3","37.703,8","1,16K","0,22%"
"11.12.2023","38.322,8","40.692,4","40.712,6","37.340,0","1,73K","-5,82%"
"10.12.2023","40.692,4","40.659,0","40.939,9","40.511,2","0,41K","0,08%"
"09.12.2023","40.659,2","41.083,1","41.242,9","40.554,7","0,48K","-1,01%"
"08.12.2023","41.075,4","40.130,2","41.600,1","39.984,1","0,95K","2,36%"
"07.12.2023","40.130,2","40.662,1","40.900,0","39.777,9","1,13K","-1,31%"
"06.12.2023","40.662,1","40.825,9","41.034,8","40.255,7","1,11K","-0,40%"
"05.12.2023","40.825,9","38.742,5","41.170,0","38.290,8","1,74K","5,38%"
"04.12.2023","38.742,5","36.722,0","39.122,9","36.722,0","2,30K","5,50%"
"03.12.2023","36.722,0","36.247,3","36.880,0","36.035,6","0,52K","1,28%"
"02.12.2023","36.259,5","35.564,8","36.600,0","35.530,7","0,64K","1,95%"
"01.12.2023","35.564,4","34.645,6","35.860,1","34.550,0","1,26K","2,65%"
"30.11.2023","34.645,6","34.520,5","34.773,8","34.385,0","0,76K","0,36%"
"29.11.2023","34.520,4","34.382,6","34.977,1","34.271,6","0,70K","0,40%"
"28.11.2023","34.382,6","33.999,1","34.944,2","33.696,2","1,20K","1,14%"
"27.11.2023","33.996,2","34.253,7","34.383,5","33.602,4","1,03K","-0,75%"
"26.11.2023","34.253,5","34.570,4","34.600,0","34.009,1","0,43K","-0,92%"
"25.11.2023","34.570,4","34.494,8","34.659,3","34.397,1","0,30K","0,24%"
"24.11.2023","34.489,1","34.224,4","35.138,6","34.191,2","1,19K","0,79%"
"23.11.2023","34.220,2","34.373,6","34.476,7","33.841,5","0,61K","-0,43%"
"22.11.2023","34.368,3","32.751,1","34.772,8","32.677,1","1,34K","4,81%"
"21.11.2023","32.792,4","34.257,7","34.395,8","32.790,2","1,45K","-4,27%"
"20.11.2023","34.256,8","34.293,3","34.540,0","33.689,2","1,16K","-0,11%"
"19.11.2023","34.293,3","33.589,4","34.412,7","33.409,8","0,43K","2,12%"
"18.11.2023","33.580,6","33.604,2","33.831,0","33.230,1","0,26K","-0,03%"
"17.11.2023","33.589,8","33.342,5","33.805,0","33.040,0","1,00K","0,78%"
"16.11.2023","33.331,3","34.926,5","34.990,4","32.724,8","1,58K","-4,54%"
"15.11.2023","34.917,7","32.700,0","35.006,6","32.536,6","1,78K","6,78%"
