"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"31.12.2016","913,5","914,0","919,8","895,0","3,63K","-0,06%"
"30.12.2016","914,0","931,0","932,9","881,0","10,32K","-1,82%"
"29.12.2016","931,0","937,8","940,0","907,5","8,53K","-0,73%"
"28.12.2016","937,8","888,6","940,0","888,2","13,83K","5,53%"
"27.12.2016","888,6","864,0","899,8","856,8","7,87K","2,85%"
"26.12.2016","864,0","859,3","874,5","850,0","4,89K","0,54%"
"25.12.2016","859,3","854,4","861,5","812,0","7,99K","0,58%"
"24.12.2016","854,4","884,7","888,9","846,0","7,02K","-3,43%"
"23.12.2016","884,7","825,0","889,7","824,7","16,54K","7,24%"
"22.12.2016","825,0","796,5","839,9","796,1","12,31K","3,57%"
"21.12.2016","796,5","777,8","799,0","774,0","8,49K","2,41%"
"20.12.2016","777,8","765,0","779,0","761,2","4,73K","1,67%"
"19.12.2016","765,0","759,0","765,3","756,8","3,84K","0,79%"
"18.12.2016","759,0","759,7","761,0","752,8","1,93K","-0,09%"
"17.12.2016","759,7","752,8","762,3","751,6","3,20K","0,92%"
"16.12.2016","752,8","747,9","756,7","746,1","3,98K","0,65%"
"15.12.2016","747,9","739,5","750,8","738,9","4,02K","1,14%"
"14.12.2016","739,5","739,0","740,9","730,6","3,81K","0,07%"
"13.12.2016","739,0","737,0","743,3","727,2","4,25K","0,27%"
"12.12.2016","737,0","729,1","743,5","729,0","4,37K","1,08%"
"11.12.2016","729,1","736,5","736,5","723,6","3,03K","-1,00%"
"10.12.2016","736,5","732,9","738,2","732,4","2,63K","0,49%"
"09.12.2016","732,9","727,0","735,7","724,3","3,46K","0,81%"
"08.12.2016","727,0","720,9","730,0","713,0","5,20K","0,85%"
"07.12.2016","720,9","716,0","724,8","711,9","4,17K","0,68%"
"06.12.2016","716,0","705,5","720,0","704,2","5,45K","1,49%"
"05.12.2016","705,5","734,0","735,1","702,0","7,26K","-3,89%"
"04.12.2016","734,0","723,3","735,0","719,3","2,93K","1,48%"
"03.12.2016","723,3","728,7","730,0","713,1","3,25K","-0,75%"
"02.12.2016","728,7","707,0","736,0","706,6","7,37K","3,07%"
"01.12.2016","707,0","700,3","712,5","699,3","4,86K","0,95%"
"30.11.2016","700,3","690,2","703,8","689,9","4,88K","1,47%"
"29.11.2016","690,2","693,8","696,0","690,0","3,58K","-0,53%"
"28.11.2016","693,8","691,2","698,5","689,0","3,66K","0,38%"
"27.11.2016","691,2","695,3","699,1","688,1","1,76K","-0,58%"
"26.11.2016","695,3","702,0","702,7","685,2","2,90K","-0,96%"
"25.11.2016","702,0","699,1","702,0","691,3","3,87K","0,42%"
"24.11.2016","699,1","702,9","705,0","692,1","4,74K","-0,55%"
"23.11.2016","702,9","706,4","707,7","692,1","5,62K","-0,49%"
"22.11.2016","706,4","694,0","713,5","689,0","6,20K","1,79%"
"21.11.2016","694,0","688,0","701,4","686,5","4,02K","0,88%"
"20.11.2016","688,0","706,0","710,0","670,0","6,12K","-2,55%"
"19.11.2016","706,0","703,8","715,0","691,0","2,52K","0,31%"
"18.11.2016","703,8","691,0","710,5","685,1","5,24K","1,85%"
"17.11.2016","691,0","692,0","700,0","677,9","5,97K","-0,14%"
"16.11.2016","692,0","662,0","697,4","659,0","9,25K","4,53%"
"15.11.2016","662,0","655,3","668,0","654,0","5,40K","1,02%"
"14.11.2016","655,3","647,2","659,2","643,1","4,57K","1,25%"
"13.11.2016","647,2","647,0","648,9","628,0","4,82K","0,02%"
"12.11.2016","647,0","661,0","662,0","643,3","3,78K","-2,11%"
"11.11.2016","661,0","658,0","664,3","653,6","3,66K","0,46%"
"10.11.2016","658,0","661,7","662,0","651,0","4,15K","-0,57%"
"09.11.2016","661,7","647,3","669,0","638,5","10,55K","2,22%"
"08.11.2016","647,3","636,1","650,4","632,0","4,98K","1,77%"
"07.11.2016","636,1","639,8","641,0","629,3","3,01K","-0,57%"
"06.11.2016","639,8","631,3","643,0","625,0","3,60K","1,34%"
"05.11.2016","631,3","631,3","634,7","621,4","2,57K","0,00%"
"04.11.2016","631,3","618,3","638,2","614,3","6,78K","2,09%"
"03.11.2016","618,3","661,9","672,4","604,3","15,59K","-6,58%"
"02.11.2016","661,9","659,9","663,9","648,0","4,54K","0,30%"
"01.11.2016","659,9","633,5","666,3","633,4","7,20K","4,17%"
"31.10.2016","633,5","628,0","646,2","616,5","5,80K","0,87%"
"30.10.2016","628,0","645,0","646,5","626,0","4,12K","-2,64%"
"29.10.2016","645,0","628,0","650,0","627,7","7,14K","2,71%"
"28.10.2016","628,0","629,0","634,0","626,2","4,48K","-0,16%"
"27.10.2016","629,0","621,3","635,1","619,8","6,32K","1,25%"
"26.10.2016","621,3","601,1","626,0","600,6","5,91K","3,35%"
"25.10.2016","601,1","600,0","615,0","600,0","5,23K","0,18%"
"24.10.2016","600,0","600,0","602,0","596,0","4,20K","0,00%"
"23.10.2016","600,0","601,3","605,9","597,3","2,53K","-0,22%"
"22.10.2016","601,3","582,7","609,6","581,1","6,03K","3,21%"
"21.10.2016","582,7","579,7","584,0","579,4","2,66K","0,51%"
"20.10.2016","579,7","576,5","583,0","574,0","3,46K","0,56%"
"19.10.2016","576,5","582,0","583,0","572,5","4,54K","-0,94%"
"18.10.2016","582,0","581,2","585,3","578,4","4,45K","0,14%"
"17.10.2016","581,2","585,4","586,0","580,1","3,12K","-0,73%"
"16.10.2016","585,4","582,5","587,0","582,0","1,88K","0,50%"
"15.10.2016","582,5","583,0","587,6","578,7","2,21K","-0,08%"
"14.10.2016","583,0","573,8","584,7","573,8","4,79K","1,60%"
"13.10.2016","573,8","579,4","580,0","572,5","3,18K","-0,96%"
"12.10.2016","579,4","583,0","584,8","576,5","4,42K","-0,63%"
"11.10.2016","583,0","555,7","586,6","555,7","6,71K","4,92%"
"10.10.2016","555,7","552,0","558,8","551,7","3,15K","0,67%"
"09.10.2016","552,0","555,4","556,0","552,0","1,32K","-0,61%"
"08.10.2016","555,4","556,4","559,5","552,3","1,73K","-0,18%"
"07.10.2016","556,4","550,9","560,8","550,0","3,57K","1,00%"
"06.10.2016","550,9","550,5","553,4","547,8","3,00K","0,07%"
"05.10.2016","550,5","547,7","552,5","544,9","3,59K","0,52%"
"04.10.2016","547,7","547,0","548,0","544,0","3,37K","0,13%"
"03.10.2016","547,0","545,5","549,0","544,2","2,33K","0,27%"
"02.10.2016","545,5","550,2","550,8","544,0","1,38K","-0,84%"
"01.10.2016","550,2","545,7","553,8","545,7","3,22K","0,83%"
