"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"31.12.2022","15.420,9","15.498,8","15.529,9","15.367,8","0,86K","-0,50%"
"30.12.2022","15.498,8","15.593,7","15.599,6","15.305,2","1,16K","-0,63%"
"29.12.2022","15.596,8","15.549,0","15.640,1","15.510,0","1,05K","0,31%"
"28.12.2022","15.549,0","15.690,5","15.742,7","15.516,1","1,08K","-0,90%"
"27.12.2022","15.690,0","15.885,0","15.935,6","15.586,3","1,05K","-1,23%"
"26.12.2022","15.885,0","15.837,0","15.906,1","15.800,0","0,60K","0,31%"
"25.12.2022","15.835,2","15.830,3","15.849,4","15.739,9","0,40K","0,03%"
"24.12.2022","15.830,4","15.789,1","15.849,8","15.787,7","0,39K","0,27%"
"23.12.2022","15.787,7","15.862,4","15.915,1","15.775,7","1,10K","-0,46%"
"22.12.2022","15.860,1","15.848,0","15.881,9","15.656,8","1,10K","0,10%"
"21.12.2022","15.845,0","15.902,9","15.926,2","15.759,3","1,08K","-0,38%"
"20.12.2022","15.904,7","15.482,8","16.000,0","15.460,3","1,29K","2,72%"
"19.12.2022","15.482,8","15.813,0","15.864,7","15.370,3","1,41K","-2,10%"
"18.12.2022","15.814,3","15.842,1","15.885,8","15.740,5","0,37K","-0,18%"
"17.12.2022","15.842,1","15.708,4","15.849,4","15.671,3","0,42K","0,87%"
"16.12.2022","15.705,8","16.296,0","16.460,7","15.616,1","1,91K","-3,59%"
"15.12.2022","16.291,4","16.676,7","16.719,1","16.250,0","1,50K","-2,29%"
"14.12.2022","16.672,7","16.723,7","17.192,9","16.574,1","1,88K","-0,30%"
"13.12.2022","16.723,7","16.305,8","16.912,8","16.196,6","2,03K","2,56%"
"12.12.2022","16.305,8","16.223,2","16.333,0","16.009,0","1,25K","0,43%"
"11.12.2022","16.236,2","16.240,4","16.372,8","16.207,1","0,34K","-0,03%"
"10.12.2022","16.240,4","16.249,7","16.336,4","16.220,4","0,27K","-0,06%"
"09.12.2022","16.249,7","16.308,2","16.413,0","16.207,2","0,67K","-0,36%"
"08.12.2022","16.308,2","16.016,8","16.357,0","15.931,5","1,00K","1,83%"
"07.12.2022","16.015,6","16.308,4","16.350,0","15.938,8","1,08K","-1,78%"
"06.12.2022","16.305,7","16.160,7","16.315,0","16.107,1","1,28K","0,91%"
"05.12.2022","16.158,0","16.240,1","16.490,0","16.100,0","1,18K","-0,51%"
"04.12.2022","16.240,1","16.045,0","16.308,6","16.037,4","0,37K","1,22%"
"03.12.2022","16.045,0","16.220,0","16.271,1","16.023,0","0,32K","-1,08%"
"02.12.2022","16.220,0","16.130,3","16.244,6","16.050,0","1,29K","0,56%"
"01.12.2022","16.129,3","16.475,3","16.516,9","16.033,9","1,29K","-2,10%"
"30.11.2022","16.475,1","15.919,9","16.535,2","15.904,0","1,66K","3,49%"
"29.11.2022","15.919,9","15.663,8","15.977,9","15.552,3","1,53K","1,65%"
"28.11.2022","15.661,1","15.833,9","15.872,1","15.415,1","1,81K","-1,09%"
"27.11.2022","15.833,9","15.815,2","15.975,8","15.804,8","0,52K","0,12%"
"26.11.2022","15.815,2","15.858,0","16.021,0","15.755,1","0,46K","-0,27%"
"25.11.2022","15.858,0","15.923,4","15.947,1","15.684,2","1,54K","-0,44%"
"24.11.2022","15.928,2","15.925,5","16.100,0","15.791,6","1,18K","0,02%"
"23.11.2022","15.925,5","15.715,0","16.146,3","15.654,6","1,49K","1,42%"
"22.11.2022","15.702,4","15.384,3","15.829,1","15.222,1","2,50K","2,07%"
"21.11.2022","15.384,3","15.731,1","15.858,4","15.142,5","2,27K","-2,20%"
"20.11.2022","15.731,1","16.145,6","16.191,9","15.655,4","0,87K","-2,56%"
"19.11.2022","16.144,9","16.098,5","16.253,2","16.052,9","0,47K","0,33%"
"18.11.2022","16.092,0","16.213,5","16.240,4","16.000,1","1,31K","-0,12%"
"17.11.2022","16.111,0","16.049,9","16.161,6","15.825,1","1,62K","1,36%"
"16.11.2022","15.895,4","16.296,0","16.378,9","15.753,1","1,58K","-2,45%"
"15.11.2022","16.295,3","16.072,0","16.436,4","16.014,0","1,71K","1,40%"
"14.11.2022","16.071,1","15.778,5","16.618,0","15.321,2","2,62K","1,87%"
"13.11.2022","15.776,6","16.178,4","16.307,9","15.638,3","1,30K","-2,48%"
"12.11.2022","16.178,6","16.405,0","16.469,7","16.032,6","0,79K","-1,38%"
"11.11.2022","16.405,0","17.247,9","17.341,4","15.925,1","2,85K","-4,86%"
"10.11.2022","17.242,4","15.881,8","17.780,9","15.720,3","5,84K","8,75%"
"09.11.2022","15.854,6","18.452,8","18.502,1","15.548,7","7,74K","-14,12%"
"08.11.2022","18.460,4","20.563,6","20.634,4","17.325,0","6,80K","-10,23%"
"07.11.2022","20.563,5","21.062,3","21.203,3","20.371,4","1,34K","-2,38%"
"06.11.2022","21.063,8","21.376,4","21.431,0","21.055,0","0,51K","-1,46%"
"05.11.2022","21.376,4","21.241,2","21.550,0","21.192,8","0,62K","0,64%"
"04.11.2022","21.240,1","20.725,4","21.429,8","20.690,6","1,25K","2,48%"
"03.11.2022","20.725,4","20.527,5","20.849,4","20.507,4","0,86K","0,96%"
"02.11.2022","20.527,5","20.734,4","20.893,5","20.439,7","1,20K","-1,00%"
"01.11.2022","20.734,4","20.735,1","20.824,6","20.500,0","0,82K","0,00%"
"31.10.2022","20.735,0","20.719,5","20.957,0","20.477,9","0,72K","0,09%"
"30.10.2022","20.717,1","20.880,2","20.999,1","20.628,2","0,35K","-0,78%"
"29.10.2022","20.880,2","20.668,0","21.119,4","20.633,7","0,61K","1,02%"
"28.10.2022","20.670,0","20.356,0","20.868,9","20.145,0","1,07K","1,54%"
